X30,X61,X92,X123,X154,X185,X216,X247,X278,X309,X340,X371,X402,X433,X464,X495,X526,X557,X588,X619,X650,X681,X712,X743,X774,X805,X836,X867,X898,X929,X960,X991,X1022,X1053,X1084,X1115,X1146,X1177,X1208,X1239,X1270,X1301,X1332,X1363,X1394,X1425,X1456,X1487,X1518,X1549,X1580,X1611,X1642,X1673,X1704,X1735,X1766,X1797,X1828,X1859,X1890,X1921,X1952,X1983,X2014,X2045,X2076,X2107,X2138,X2169,X2200,X2231,X2262,X2293,X2324,X2355,X2386,X2417,X2448,X2479,X2510,X2541,X2572,X2603,X2634,X2665,X2696,X2727,X2758,X2789,X2820,X2851,X2882,X2913,X2944,X2975,X3006
-20.8561366022246,-21.0613263444472,-21.2519156373465,-21.4266969970894,-21.5881564231914,-21.7372853246894,-21.8731499737355,-21.9957912176627,-22.1076623282788,-22.2089368332758,-22.2982998734782,-22.3759721403929,-22.4302665902094,-22.4623539168413,-22.4917414183817,-22.5179494921182,-22.532354690807,-22.5422485457443,-22.5493932286249,-22.5516031762652,-22.5502483176431,-22.5309256024127,-22.4962735856265,-22.4732246043602,-22.4249692206789,-22.3457021254355,-22.308861848887,-22.2749603907696,-22.2193547591547,-22.2377509968019,-22.3493016885549,-22.4981017986936,-22.6672709391319,-22.855933920673,-23.0739525698297,-23.32055202208,-23.5864609873175,-23.8780395778183,-24.2179600326346,-24.6979040228115,-25.2782840198733,-25.7848684635906,-26.2502982004557,-26.7837810289381,-27.8173814316977,-28.1987367414465,-28.4106206137558,-28.407883169962,-28.2832929503731,-28.184346451182,-27.993187147647,-27.6485232243808,-27.3826982416083,-27.1419983146066,-26.8210229867355,-26.5745859603435,-26.4092423322077,-26.2602336130866,-26.1754031263004,-26.1760096489315,-26.2352448902298,-26.3288515717664,-26.511001278415,-26.7680081333828,-26.9738286657413,-27.1767046028096,-27.4278093243623,-27.6054968381541,-27.7653514755819,-27.9674554778421,-28.0969097173885,-28.2238181347477,-28.3831537598209,-28.4073210991246,-28.1854186605514,-27.8228483017667,-27.4764695539453,-26.3025233700443,-25.6075564878751,-25.145901478702,-24.7912646736304,-24.4116169267976,-24.2273358226081,-24.2369458578637,-24.3169582428126,-24.5047306320288,-24.7865272995812,-25.1455685906467,-25.6146462664607,-26.8894646025817,-27.6803870859232,-28.5735977759771,-29.569056170137,-30.6667217657966,NA,NA,NA
-20.7939006322447,-20.9538405694306,-21.0977969733174,-21.2237202871083,-21.3370454004134,-21.4385720090794,-21.5246824088668,-21.5963710613187,-21.6613559109558,-21.7114080955912,-21.7442915318459,-21.7767133324525,-21.783950134836,-21.7621657428999,-21.7593980190947,-21.7788620759235,-21.7966440455479,-21.8200883199054,-21.8637588394515,-21.9215274020698,-21.9697001858403,-22.0244032218494,-22.0956841014602,-22.150731343168,-22.1501061582371,-22.1198628327611,-22.125429497479,-22.1206320461886,-22.0832540248912,-22.1146600426314,-22.2322103133247,-22.3777588915024,-22.5394111471335,-22.7447514876573,-22.9948393348986,-23.2379925804046,-23.4958898047906,-23.7910996924008,-24.0732752903759,-24.3865666298763,-24.7436478283751,-25.0469580624818,-25.2887988036319,-25.5191871526993,-25.7271357304514,-26.0317640550782,-26.1064690434874,-26.0462738919157,-25.8979727218313,-25.8400166826541,-25.8629399356989,-25.8640832998016,-25.8821079106642,-25.9114428216216,-25.9299610809808,-25.9514898169026,-25.9778275949372,-26.129108993712,-26.2402633695833,-26.4543071266,-26.7373373843125,-26.9516939153722,-27.1090850502366,-27.2726739797863,-27.381982767307,-27.4975307637123,-27.6450470780545,-27.7118684108284,-27.7972825839221,-27.9424912885928,-27.9477020293893,-27.6994370621839,-27.3161999958269,-26.946170364333,-26.4639869466597,-25.8241820956677,-25.2947757062265,-24.8764837287301,-24.4375931774618,-24.0474805431246,-23.6739361131912,-23.2950683283537,-22.9957309091444,-22.7708152592998,-22.5766398212988,-22.4401988737878,-22.3597985608761,-22.3212533682846,-22.332820087077,-22.3970993326508,-22.5108915084156,-22.6737530874531,-22.8852405428453,-23.1449103476738,NA,NA,NA
-20.7939006322447,-20.9538405694306,-21.0977969733174,-21.2237202871083,-21.3370454004134,-21.4385720090794,-21.5246824088668,-21.5963710613187,-21.6613559109558,-21.7114080955912,-21.7442915318459,-21.7767133324525,-21.783950134836,-21.7621657428999,-21.7593980190947,-21.7788620759235,-21.7966440455479,-21.8200883199054,-21.8637588394515,-21.9215274020698,-21.9697001858403,-22.0244032218494,-22.0956841014602,-22.150731343168,-22.1501061582371,-22.1198628327611,-22.125429497479,-22.1206320461886,-22.0832540248912,-22.1146600426314,-22.2322103133247,-22.3777588915024,-22.5394111471335,-22.7447514876573,-22.9948393348986,-23.2379925804046,-23.4958898047906,-23.7910996924008,-24.0732752903759,-24.3865666298763,-24.7436478283751,-25.0469580624818,-25.2887988036319,-25.5191871526993,-25.7271357304514,-26.0317640550782,-26.1064690434874,-26.0462738919157,-25.8979727218313,-25.8400166826541,-25.8629399356989,-25.8640832998016,-25.8821079106642,-25.9114428216216,-25.9299610809808,-25.9514898169026,-25.9778275949372,-26.129108993712,-26.2402633695833,-26.4543071266,-26.7373373843125,-26.9516939153722,-27.1090850502366,-27.2726739797863,-27.381982767307,-27.4975307637123,-27.6450470780545,-27.7118684108284,-27.7972825839221,-27.9424912885928,-27.9477020293893,-27.6994370621839,-27.3161999958269,-26.946170364333,-26.4639869466597,-25.8241820956677,-25.2947757062265,-24.8764837287301,-24.4375931774618,-24.0474805431246,-23.6739361131912,-23.2950683283537,-22.9957309091444,-22.7708152592998,-22.5766398212988,-22.4401988737878,-22.3597985608761,-22.3212533682846,-22.332820087077,-22.3970993326508,-22.5108915084156,-22.6737530874531,-22.8852405428453,-23.1449103476738,NA,NA,NA
-21.0021459900863,-21.144216447209,-21.2739364435028,-21.3898381774539,-21.4960405046513,-21.5928730567042,-21.6770820362147,-21.7496796455499,-21.8173945159657,-21.8731436903559,-21.9150177067747,-21.9575054392188,-21.9795027066475,-21.9778892282459,-21.9941297283498,-22.0248243449891,-22.0504024523751,-22.088072629115,-22.154844429136,-22.2387949858545,-22.3137342471112,-22.4089194221836,-22.5314947925216,-22.6221009142237,-22.6816727621567,-22.7395611803027,-22.7790305284326,-22.7313238852371,-22.6241703000761,-22.5855630887248,-22.5710569309183,-22.5262370074933,-22.5641423858778,-22.7131859929743,-22.904623169791,-23.1057566049149,-23.3779168010475,-23.7241090595266,-24.0241482668936,-24.3646684649442,-25.2576808596893,-25.5370108392432,-25.6155329969656,-25.577598881761,-25.4788996690603,-25.375126534294,-25.3219706528927,-25.2408049413892,-25.103802757398,-25.0428559379728,-25.0990425174873,-25.1899529302292,-25.2622476131218,-25.3559920291062,-25.494667927606,-25.6000601752686,-25.7094481427662,-25.8587664660086,-25.9677829095001,-26.0146774076612,-26.0434385975738,-26.0725472977346,-26.0243360528844,-25.9574570225986,-25.9034393808078,-25.8999455390659,-25.9195385586992,-25.8956021596676,-25.8695017297175,-25.8696158929776,-25.8098482239809,-25.6349065513537,-25.1113306619573,-24.8730385318125,-24.5950688747918,-24.250236632385,-23.963532886662,-23.7583700984617,-23.5676740607205,-23.3807058536544,-23.1455144135753,-22.8859009708502,-22.7047550467781,-22.5911259805112,-22.4946327414114,-22.4590192960918,-22.4840344527761,-22.5463948169355,-22.6552960510542,-22.814237245915,-23.0200055362296,-23.2717286503756,-23.5685343167307,-23.9095502636723,NA,NA,NA
-21.0021459900863,-21.144216447209,-21.2739364435028,-21.3898381774539,-21.4960405046513,-21.5928730567042,-21.6770820362147,-21.7496796455499,-21.8173945159657,-21.8731436903559,-21.9150177067747,-21.9575054392188,-21.9795027066475,-21.9778892282459,-21.9941297283498,-22.0248243449891,-22.0504024523751,-22.088072629115,-22.154844429136,-22.2387949858545,-22.3137342471112,-22.4089194221836,-22.5314947925216,-22.6221009142237,-22.6816727621567,-22.7395611803027,-22.7790305284326,-22.7313238852371,-22.6241703000761,-22.5855630887248,-22.5710569309183,-22.5262370074933,-22.5641423858778,-22.7131859929743,-22.904623169791,-23.1057566049149,-23.3779168010475,-23.7241090595266,-24.0241482668936,-24.3646684649442,-25.2576808596893,-25.5370108392432,-25.6155329969656,-25.577598881761,-25.4788996690603,-25.375126534294,-25.3219706528927,-25.2408049413892,-25.103802757398,-25.0428559379728,-25.0990425174873,-25.1899529302292,-25.2622476131218,-25.3559920291062,-25.494667927606,-25.6000601752686,-25.7094481427662,-25.8587664660086,-25.9677829095001,-26.0146774076612,-26.0434385975738,-26.0725472977346,-26.0243360528844,-25.9574570225986,-25.9034393808078,-25.8999455390659,-25.9195385586992,-25.8956021596676,-25.8695017297175,-25.8696158929776,-25.8098482239809,-25.6349065513537,-25.1113306619573,-24.8730385318125,-24.5950688747918,-24.250236632385,-23.963532886662,-23.7583700984617,-23.5676740607205,-23.3807058536544,-23.1455144135753,-22.8859009708502,-22.7047550467781,-22.5911259805112,-22.4946327414114,-22.4590192960918,-22.4840344527761,-22.5463948169355,-22.6552960510542,-22.814237245915,-23.0200055362296,-23.2717286503756,-23.5685343167307,-23.9095502636723,NA,NA,NA
-20.313615289578,-20.4967463203554,-20.6602586916491,-20.8009986254723,-20.9274350914026,-21.0413010712965,-21.1389273132833,-21.22114956028,-21.296458286324,-21.353783152465,-21.3908071080203,-21.4291505594289,-21.4321227038316,-21.3956341958948,-21.3902076283469,-21.4363466511672,-21.4965892581813,-21.5545095578865,-21.6277605199154,-21.7228505585766,-21.8066369493811,-21.8633977552725,-21.9129888234289,-21.9756341057134,-22.051778110567,-22.1282755924049,-22.2049658720514,-22.2773901727148,-22.3490762033108,-22.4318430132244,-22.514607310042,-22.5950130521455,-22.6979701651123,-22.8211616254097,-22.9525281090958,-23.1023660911339,-23.2947072968403,-23.5145133692458,-23.7134756598857,-23.9052021139785,-24.1185067291674,-24.5078521635218,-24.6691730635618,-24.833340088086,-24.9909153697246,-25.1324610411078,-25.2485392348658,-25.3120497242977,-25.337498423276,-25.3778566752909,-25.4484353453124,-25.5217284576507,-25.6314423392813,-25.6832255321354,-25.7472029743806,-25.7802531884427,-25.7406892399088,-25.6615760731397,-25.6119200287224,-25.5870765132033,-25.5490633037916,-25.5168802970694,-25.5058475972299,-25.5019347187481,-25.4801156736284,-25.4589359522766,-25.4479101186377,-25.4084657950255,-25.3846825729302,-25.3871661664985,-25.3271333820295,-25.1605551601549,-24.680547362827,-24.4519882869338,-24.1735286436613,-23.8316105452579,-23.5558457086063,-23.3542131401026,-23.1567804147719,-22.9762921024415,-22.7433570848347,-22.4782365050926,-22.3281533251689,-22.2788610049017,-22.2570204465105,-22.3212157755207,-22.4705879185289,-22.6741006177155,-22.9450722219813,-23.2884020376743,-23.6993148927386,-24.1766174184698,-24.7191162461634,-25.3256180071147,NA,NA,NA
-21.8930652767383,-21.9239348974738,-21.9512434156526,-21.974992158924,-21.9944466303959,-22.0094191842225,-22.0185710258773,-22.0223301538732,-22.0231591119236,-22.0241319529532,-22.0236711637089,-22.0172619386369,-21.998885880572,-21.971265846119,-21.9429989103791,-21.8914418090692,-21.8165595886005,-21.7608617901166,-21.7278098918235,-21.6961222339602,-21.6711936507191,-21.6659179340843,-21.6766235129118,-21.6838571767025,-21.6536209529534,-21.6051375134018,-21.5987846139085,-21.5751971435358,-21.5180861368868,-21.5524435681332,-21.6914114069661,-21.8647677145699,-22.0724586023564,-22.3970058524066,-22.8184857667063,-23.1831762365247,-23.5797812340452,-24.0659493001397,-24.4413751791104,-24.7284518239953,-25.0256445790515,-25.2467567754093,-25.3251850486031,-25.3187172292294,-25.3277434410121,-25.2961415646094,-25.1825413897422,-25.1094609037281,-25.091277048516,-25.0634967754016,-25.0303330857235,-24.9877447668515,-24.9381451655632,-24.895429122309,-24.8381078902468,-24.7677702887047,-24.7329275073883,-24.7368974402673,-24.7497158527056,-24.79625010345,-24.8926086123428,-25.0420951358056,-25.1217889613922,-25.134868773009,-25.1530289136229,-25.1561221593775,-25.1561173532557,-25.1549939168264,-25.1176204941123,-25.0123301325806,-24.859001018911,-24.6998195059453,-24.5031838515795,-24.2584711378408,-24.0393359537667,-23.8587387979454,-23.6806226280184,-23.5051157216033,-23.3177607973656,-23.1200090481217,-22.9358514627157,-22.6996560121565,-22.4138086043572,-22.2043271335184,-22.0449152855152,-21.8859358680058,-21.8183954578646,-21.8399152849223,-21.9020898015532,-22.0268854184471,-22.2154311631044,-22.456228911496,-22.7523043470175,-23.1107405219745,-23.5317172756964,-24.0079054721142,NA
-22.0875170915825,-22.0487517789051,-22.0193236770486,-22.0025225006989,-21.9892824041726,-21.9772162352336,-21.9675705518821,-21.960264692335,-21.9509206746821,-21.9461258072304,-21.9471880330351,-21.9418103223087,-21.941435346155,-21.9511354442339,-21.9490580895917,-21.8953342023331,-21.8070244195967,-21.7476707899789,-21.6953313556394,-21.6180502459493,-21.564348640322,-21.5575212156921,-21.5747192131122,-21.5952486581736,-21.6078332943373,-21.6309929265653,-21.6887276727001,-21.7314212575504,-21.7532874995468,-21.8440716569648,-22.0098825056976,-22.1976174153938,-22.4082045349624,-22.7468725500256,-23.1927403434185,-23.5575713598691,-23.905215527536,-24.3175225231421,-24.6332554142626,-24.8488821764714,-25.0458489105376,-25.1903858718286,-25.2357331591795,-25.2046108370308,-25.1674691091583,-25.0330424634487,-24.7585563404732,-24.3621521939312,-24.3053841798837,-24.2286322887721,-24.2597465251436,-24.5247570036067,-24.9172587390516,-25.2164490864484,-25.5084694485495,-25.8923418482217,-26.1665845706061,-26.3050915349036,-26.4252834616356,-26.540968837925,-26.6095103470856,-26.6263455653643,-26.6623953192833,-26.6996321621852,-26.6899693917055,-26.6592389508062,-26.6640788229983,-26.6885303375161,-26.6495304559064,-26.6092205516716,-26.6073845569579,-26.5274232712779,-26.2630223876404,-25.8906612617403,-25.5679311871195,-25.1704026764179,-24.6404744408464,-24.2359800718038,-24.0106611193482,-23.8251410075733,-23.6475761389312,-23.5096105614985,-23.4244415991522,-23.3325555680448,-23.2068240642123,-23.0857947363241,-23.0084679794823,-22.9763499976329,-22.9674238448359,-22.9854051913634,-23.0296545975592,-23.0985504109151,-23.1943349824258,-23.3213006564309,-23.4796458544156,-23.6654720430932,NA
-21.9350645859763,-21.901784516645,-21.8755443914976,-21.8583541569056,-21.8446423929419,-21.8327995647645,-21.8237003546339,-21.8173220341987,-21.810708952699,-21.8092183514479,-21.8135591175863,-21.8138030690953,-21.7918211769888,-21.756988480854,-21.7406329015325,-21.7048393873005,-21.6435370719261,-21.6358201544891,-21.7289680696317,-21.8647414041331,-21.9639560852791,-22.0534255392723,-22.1699619307596,-22.2493792946934,-22.2842693777253,-22.3164153492866,-22.3554183784995,-22.3227639096766,-22.2309324349295,-22.2260176950785,-22.263070824278,-22.2710563868506,-22.3569382688687,-22.6103184431848,-22.9592029038554,-23.2681615687589,-24.0510872535106,-24.4951927570917,-24.8243729300192,-25.3094101246283,-25.514099314612,-25.6488678275614,-25.6592266434319,-25.5563651796881,-25.4052752884778,-25.2709488219488,-25.2183776322489,-25.2273948076113,-25.2393882015099,-25.2616818139541,-25.3478307601379,-25.4737837359938,-25.5304551126386,-25.5273878270699,-25.5307645985754,-25.5164594717062,-25.4430827520267,-25.3146409672364,-25.0386089997434,-25.0718510352926,-25.1142466318785,-25.1495483635995,-25.2637027530915,-25.4530964231226,-25.5671420979894,-25.6368550980366,-25.7579834651612,-25.877039005989,-25.9405335271456,-25.8949788352564,-25.6207345469676,-25.1847315272637,-24.8133384552788,-24.4570386594941,-24.0224275238894,-23.6700418108459,-23.4243123310309,-23.2068315111949,-23.0238785378439,-22.8652493322854,-22.7301253458223,-22.6388640599532,-22.5782332343991,-22.542343369044,-22.5625660556319,-22.63743830582,-22.7507172259512,-22.9116045497986,-23.1227234689954,-23.3802528076508,-23.683727748252,-24.0326834732863,-24.4266551652408,NA,NA,NA,NA
-22.079595134071,-22.0590341068506,-22.0410191631633,-22.0250150563906,-22.0121223680822,-22.0025350161482,-21.9950399820793,-21.9900104223515,-21.9900195173524,-21.9956827715556,-22.0057160502063,-22.0198430748487,-22.0385150442002,-22.0609624573732,-22.0850779865041,-22.1269178063976,-22.1820245203457,-22.2175204432164,-22.2475700972395,-22.2877104092437,-22.3071223009955,-22.284185838281,-22.2419846266916,-22.2167548977012,-22.1445409733244,-22.022077919971,-21.9766380857083,-21.9626406713894,-21.9245710121051,-21.9748006572795,-22.1665726288264,-22.4284135400325,-22.6856203273816,-23.0368281078678,-23.4976090105604,-23.8686654900558,-24.2123141560013,-24.6155664887406,-24.9161672489149,-25.1064075459281,-25.2698716621904,-25.3812441178529,-25.3550399302045,-25.2238045758837,-25.1392682640673,-25.031578931047,-24.8398633636618,-24.7293200469095,-24.7294880577792,-24.7488338863998,-24.7709471374779,-24.8524268192402,-24.9877759296073,-25.0674400578272,-25.1074926684325,-25.1645163428497,-25.1897203456676,-25.150069417362,-25.0788153883101,-25.0265981579522,-24.9460094635219,-24.8189597013264,-24.740066759416,-24.7070688615738,-24.6703748167096,-24.6536083905636,-24.735924808992,-24.9144097087204,-25.1619624802554,-25.1760300681854,-25.1961467771898,-25.1526538006036,-24.9807786948831,-24.7309287716474,-24.5062148569761,-24.255138914112,-23.9362505334329,-23.6677319817204,-23.4420496016126,-23.2014034187357,-22.9885762243532,-22.8030351309018,-22.6247053700014,-22.4670569116916,-22.318664766331,-22.179159532632,-22.0785945631643,-22.0181714923988,-21.9815554415683,-21.9724949933855,-21.9916639433761,-22.0368258673581,-22.1073640184828,-22.2047100989803,-22.3297417692049,-22.481011219494,NA
