,Rep,V1,group
1,30,23.3854284693419,top
2,5027,7.42681672321079,top
3,6002,17.6012992780533,top
4,6007,24.2375226250883,top
5,6009,22.5638304125903,top
6,6014,24.8285209451886,top
7,6021,24.0293707844542,top
8,6025,19.8450863717444,top
9,6027,24.0041182208086,top
10,6029,10.8218781205882,top
11,6030,14.0321130569681,top
12,6038,23.5083979981452,top
13,6042,17.1660322012861,top
14,6043,24.8746231249817,top
15,6048,12.4302873493092,top
16,6050,21.0215609421085,top
17,6053,22.1787753850707,top
18,6066,9.59037017151729,top
19,6067,23.1776948323525,top
20,6071,12.5050243075784,top
21,6072,22.3174024066262,top
22,6073,24.4024830586143,top
23,6079,20.0719637777839,top
24,6082,19.1224663195503,top
25,7008,21.8073991733706,top
26,7019,24.5406218306918,top
27,7030,23.0096449789082,top
28,7034,16.4143795477314,top
29,7039,21.5107494392766,top
30,7056,25.2825103259818,top
31,7061,22.8008586853056,top
32,7063,20.5779260011557,top
33,7076,13.9509776541476,top
34,7080,24.2652000080092,top
35,7081,22.3548852362129,top
36,7082,16.0420111468885,top
37,3,15.4850029856232,bottom
38,4,18.0634852262054,bottom
39,5,6.532132974684,bottom
40,11,16.261224782794,bottom
41,14,16.5208113847575,bottom
42,20,21.5396442569932,bottom
43,23,16.1153800557654,bottom
44,26,19.9305689910236,bottom
45,27,17.2334380492911,bottom
46,28,15.181902364589,bottom
47,31,16.9560463197519,bottom
48,41,16.7260549847069,bottom
49,46,22.7897678205596,bottom
50,1001,13.6681010539982,bottom
51,1006,13.4607730596003,bottom
52,1007,12.1975537340067,bottom
53,1009,15.5714839979724,bottom
54,2002,10.2388781041615,bottom
55,3002,19.7695067559467,bottom
56,3006,17.0514093291769,bottom
57,3012,18.1369178442584,bottom
58,3014,11.7804383474131,bottom
59,3017,21.6814917724961,bottom
60,3021,15.5313851479841,bottom
61,4009,5.94445190158961,bottom
62,4010,13.2263880696394,bottom
63,4012,9.60282601910873,bottom
64,4028,15.6833657534061,bottom
65,4045,12.2330057606598,bottom
66,5001,13.4821733123094,bottom
67,5018,16.7527991070425,bottom
68,5019,17.6742416846401,bottom
69,5021,13.0299603114691,bottom
70,7013,19.8084097488381,bottom
71,7090,1.1517577883464,bottom
