Whale,ID,Samp.No,d15N, d13C,Spp,Year,Day
KC6,6,34,8.92,-17.88,fin,NA,NA
KC6,6,35,9.33,-17.92,fin,NA,NA
KC6,6,36,9.43,-17.71,fin,NA,NA
KC6,6,37,9.56,-17.62,fin,NA,NA
KC6,6,38,9.66,-17.49,fin,NA,NA
KC6,6,39,10.08,-17.39,fin,NA,NA
KC6,6,40,9.99,-17.63,fin,NA,NA
KC6,6,41,9.76,-17.54,fin,NA,NA
KC6,6,42,9.6,-17.63,fin,NA,NA
KC6,6,43,9.42,-17.33,fin,NA,NA
KC6,6,44,8.8,-17.29,fin,NA,NA
KC6,6,45,8.77,-17.64,fin,NA,NA
KC6,6,46,8.91,-18.53,fin,NA,NA
KC6,6,47,8.94,-17.62,fin,NA,NA
KC6,6,48,8.56,-17.5,fin,NA,NA
KC6,6,49,8.56,-17.6,fin,NA,NA
KC6,6,50,9.31,-17.56,fin,NA,NA
KC6,6,51,9.57,-17.49,fin,NA,NA
KC6,6,52,9.5,-17.5,fin,NA,NA
KC6,6,53,9.66,-17.37,fin,NA,NA
KC6,6,54,9.55,-17.34,fin,NA,NA
KC6,6,55,9.35,-17.52,fin,NA,NA
KC6,6,56,9.41,-17.55,fin,NA,NA
KC6,6,57,9.1,-17.82,fin,NA,NA
CK1,1,1,9.41,-18.87,minke,NA,NA
CK1,1,2,10.7,-18.81,minke,NA,NA
CK1,1,3,11.06,-18.48,minke,NA,NA
CK1,1,4,11.93,-18.21,minke,NA,NA
CK1,1,5,12.34,-18.5,minke,NA,NA
CK1,1,6,12.51,-18.57,minke,NA,NA
CK1,1,7,12.84,-18.75,minke,NA,NA
CK1,1,8,12.78,-18.53,minke,NA,NA
CK1,1,9,12.91,-18.69,minke,NA,NA
CK1,1,10,13.25,-18.84,minke,NA,NA
CK1,1,11,12.45,-18.88,minke,NA,NA
CK1,1,12,11.23,-19.88,minke,NA,NA
CK2,2,1,14.11,-16.4,minke,NA,NA
CK2,2,2,14.48,-16.7,minke,NA,NA
CK2,2,3,14.54,-16.55,minke,NA,NA
CK2,2,4,14.43,-16.5,minke,NA,NA
CK2,2,5,14.64,-16.49,minke,NA,NA
CK2,2,6,14.54,-17.13,minke,NA,NA
CK2,2,7,13.99,-17.43,minke,NA,NA
CK2,2,8,13.79,-16.93,minke,NA,NA
CK2,2,9,13.72,-16.5,minke,NA,NA
CK2,2,10,13.63,-16.43,minke,NA,NA
CK2,2,11,14.25,-16.35,minke,NA,NA
CK2,2,12,14.21,-16.56,minke,NA,NA
CK2,2,13,14.7,-16.16,minke,NA,NA
CK2,2,14,14.69,-16.71,minke,NA,NA
CK2,2,15,14.68,-17.05,minke,NA,NA
CK2,2,16,14.7,-16.42,minke,NA,NA
CK2,2,17,14.5,-17.17,minke,NA,NA
CK2,2,18,14.31,-16.57,minke,NA,NA
CK2,2,19,14.09,-16.35,minke,NA,NA
CK2,2,20,13.91,-16.63,minke,NA,NA
CK2,2,21,13.41,-16.39,minke,NA,NA
CK2,2,22,13.9,-16.5,minke,NA,NA
CK2,2,23,14.24,-16.23,minke,NA,NA
CK2,2,24,14.07,-16.14,minke,NA,NA
CK2,2,25,13.84,-16.69,minke,NA,NA
CK3,3,1,13.53,-17.29,minke,NA,NA
CK3,3,2,13.19,-17.09,minke,NA,NA
CK3,3,3,13.04,-17.23,minke,NA,NA
CK3,3,4,12.8,-17.23,minke,NA,NA
CK3,3,5,11.86,-17.34,minke,NA,NA
CK3,3,6,12.46,-17.31,minke,NA,NA
CK3,3,7,12.79,-17.05,minke,NA,NA
CK3,3,8,13.12,-17.05,minke,NA,NA
CK3,3,9,13.49,-16.97,minke,NA,NA
CK3,3,10,14,-16.83,minke,NA,NA
CK3,3,11,13.82,-17.8,minke,NA,NA
CK3,3,12,13.69,-17.79,minke,NA,NA
CK3,3,13,13.78,-17.05,minke,NA,NA
CK3,3,14,13.85,-17.69,minke,NA,NA
CK3,3,15,13.91,-16.76,minke,NA,NA
CK3,3,16,13.32,-17.24,minke,NA,NA
CK3,3,17,13.41,-17.18,minke,NA,NA
CK3,3,18,13.35,-17.92,minke,NA,NA
CK3,3,19,12.69,-18.98,minke,NA,NA
CK4,4,1,13.6,-16.34,minke,NA,NA
CK4,4,2,13.97,-16.23,minke,NA,NA
CK4,4,3,14.99,-16.81,minke,NA,NA
CK4,4,4,14.16,-16.21,minke,NA,NA
CK4,4,5,14.56,-16.32,minke,NA,NA
CK4,4,6,14.49,-16.38,minke,NA,NA
CK4,4,7,14.48,-16.54,minke,NA,NA
CK4,4,8,14.45,-16.64,minke,NA,NA
CK4,4,9,13.97,-16.73,minke,NA,NA
CK4,4,10,13.87,-16.06,minke,NA,NA
CK4,4,11,13.49,-16.47,minke,NA,NA
CK5,5,1,13.48,-16.28,minke,NA,NA
CK5,5,2,14.2,-16.53,minke,NA,NA
CK5,5,3,14.41,-16.07,minke,NA,NA
CK5,5,4,14.46,-15.91,minke,NA,NA
CK5,5,5,14.48,-15.9,minke,NA,NA
CK5,5,6,14.46,-16.04,minke,NA,NA
CK5,5,7,13.96,-17.06,minke,NA,NA
CK5,5,8,13.88,-17.44,minke,NA,NA
CK5,5,9,14.11,-16.77,minke,NA,NA
CK5,5,10,13.68,-16.27,minke,NA,NA
CK5,5,11,14.03,-16.35,minke,NA,NA
CK5,5,12,13.8,-16.32,minke,NA,NA
CK5,5,13,14.36,-16.15,minke,NA,NA
CK5,5,14,14.22,-16.19,minke,NA,NA
CK5,5,15,13.96,-16.14,minke,NA,NA
CK5,5,16,14.31,-15.85,minke,NA,NA
CK5,5,17,13.95,-15.86,minke,NA,NA
CK5,5,18,14.01,-15.97,minke,NA,NA
CK5,5,19,13.96,-15.96,minke,NA,NA
CK5,5,20,14.29,-15.85,minke,NA,NA
CK5,5,21,14.33,-16.32,minke,NA,NA
CK5,5,22,14.19,-16.01,minke,NA,NA
CK5,5,23,14.15,-16.12,minke,NA,NA
CK5,5,24,13.45,-17.64,minke,NA,NA
CK6,6,1,14.36,-16.6,minke,NA,NA
CK6,6,2,15.16,-16.45,minke,NA,NA
CK6,6,3,15.11,-16.9,minke,NA,NA
CK6,6,4,15.37,-16.81,minke,NA,NA
CK6,6,5,15.16,-16.53,minke,NA,NA
CK6,6,6,14.79,-17,minke,NA,NA
CK6,6,7,14.54,-16.52,minke,NA,NA
CK6,6,8,13.59,-16.79,minke,NA,NA
CK6,6,9,13.77,-16.57,minke,NA,NA
CK6,6,10,14.67,-16.34,minke,NA,NA
CK6,6,11,14.82,-16.47,minke,NA,NA
CK6,6,12,15.09,-16.73,minke,NA,NA
CK6,6,13,15.23,-16.29,minke,NA,NA
CK6,6,14,15.27,-17.41,minke,NA,NA
CK6,6,15,15.1,-16.61,minke,NA,NA
CK6,6,16,14.97,-16.29,minke,NA,NA
CK6,6,17,15.05,-16.33,minke,NA,NA
CK6,6,18,15.09,-16.33,minke,NA,NA
CK6,6,19,15.2,-17.36,minke,NA,NA
CK6,6,20,14.95,-17.05,minke,NA,NA
CK6,6,21,14.95,-16.71,minke,NA,NA
CK6,6,22,14.5,-16.42,minke,NA,NA
CK6,6,23,14.17,-16.6,minke,NA,NA
TC1,1,1,6.74,-20.45,sei,NA,NA
TC1,1,2,7.11,-19.9,sei,NA,NA
TC1,1,3,7.7,-19.59,sei,NA,NA
TC1,1,4,7.53,-18.96,sei,NA,NA
TC1,1,5,8.38,-18.46,sei,NA,NA
TC1,1,6,8.65,-18,sei,NA,NA
TC1,1,7,8.71,-18.32,sei,NA,NA
TC1,1,8,8.95,-18.3,sei,NA,NA
TC1,1,9,8.96,-18.41,sei,NA,NA
TC1,1,10,8.86,-18.71,sei,NA,NA
TC1,1,11,8.71,-18.28,sei,NA,NA
TC1,1,12,8.7,-18.89,sei,NA,NA
TC1,1,14,8.94,-18.14,sei,NA,NA
TC1,1,15,8.72,-18.1,sei,NA,NA
TC1,1,16,8.73,-18.25,sei,NA,NA
TC1,1,17,8.92,-17.99,sei,NA,NA
TC1,1,18,8.94,-18.13,sei,NA,NA
TC1,1,19,8.86,-18.04,sei,NA,NA
TC1,1,20,9.13,-18.09,sei,NA,NA
TC1,1,21,9.12,-18.52,sei,NA,NA
TC1,1,22,9.58,-17.95,sei,NA,NA
TC1,1,23,9.36,-18.07,sei,NA,NA
TC1,1,24,8.9,-18.11,sei,NA,NA
TC1,1,25,8.55,-18.22,sei,NA,NA
TC2,2,1,9.94,-17.63,sei,NA,NA
TC2,2,2,9.58,-17.74,sei,NA,NA
TC2,2,3,9.49,-19.13,sei,NA,NA
TC2,2,4,9.25,-17.79,sei,NA,NA
TC2,2,5,8.96,-17.52,sei,NA,NA
TC2,2,6,8.95,-17.52,sei,NA,NA
TC2,2,7,8.52,-17.45,sei,NA,NA
TC2,2,8,8.23,-17.6,sei,NA,NA
TC2,2,9,7.73,-18.06,sei,NA,NA
TC2,2,10,7.75,-18.14,sei,NA,NA
TC2,2,11,8,-18.12,sei,NA,NA
TC2,2,12,8.42,-18.18,sei,NA,NA
TC2,2,13,9.19,-18.36,sei,NA,NA
TC2,2,14,9.67,-18.26,sei,NA,NA
TC2,2,15,9.67,-18.13,sei,NA,NA
TC2,2,16,10.24,-20.85,sei,NA,NA
TC2,2,17,10.45,-17.99,sei,NA,NA
TC2,2,18,10.68,-18.11,sei,NA,NA
TC2,2,19,10.24,-18.3,sei,NA,NA
TC2,2,20,10.69,-18.43,sei,NA,NA
TC2,2,21,10.58,-18.25,sei,NA,NA
TC2,2,22,10.46,-18.41,sei,NA,NA
TC2,2,23,10.55,-18.23,sei,NA,NA
TC2,2,24,10.46,-18.31,sei,NA,NA
TC2,2,25,10.49,-18.26,sei,NA,NA
TC2,2,26,10.61,-18.38,sei,NA,NA
TC2,2,27,10.6,-19.22,sei,NA,NA
TC2,2,28,10.7,-18.57,sei,NA,NA
TC2,2,29,11.09,-18.01,sei,NA,NA
TC2,2,30,11.11,-18.18,sei,NA,NA
TC2,2,31,11.16,-18.18,sei,NA,NA
TC2,2,32,10.99,-17.97,sei,NA,NA
TC2,2,33,11,-18.06,sei,NA,NA
TC2,2,34,10.97,-18.06,sei,NA,NA
TC2,2,35,11.11,-18.07,sei,NA,NA
TC2,2,36,10.89,-18.32,sei,NA,NA
TC2,2,37,10.95,-18.4,sei,NA,NA
TC3,3,1,11.3,-17.36,sei,NA,NA
TC3,3,2,11.1,-17.76,sei,NA,NA
TC3,3,3,10.87,-17.63,sei,NA,NA
TC3,3,4,10.84,-18.21,sei,NA,NA
TC3,3,5,10.61,-18.78,sei,NA,NA
TC3,3,6,9.78,-17.98,sei,NA,NA
TC3,3,7,9.17,-17.28,sei,NA,NA
TC3,3,8,8.79,-17.42,sei,NA,NA
TC3,3,9,8.78,-18.27,sei,NA,NA
TC3,3,10,8.9,-18.37,sei,NA,NA
TC3,3,11,9.04,-18.47,sei,NA,NA
TC3,3,12,9.44,-17.72,sei,NA,NA
TC3,3,13,10.26,-17.55,sei,NA,NA
TC3,3,14,10.84,-17.46,sei,NA,NA
TC3,3,15,10.84,-16.95,sei,NA,NA
TC3,3,16,10.75,-17.27,sei,NA,NA
TC3,3,17,10.78,-17.03,sei,NA,NA
TC3,3,18,10.69,-17.08,sei,NA,NA
TC3,3,19,10.5,-17.36,sei,NA,NA
TC3,3,20,10.63,-17.21,sei,NA,NA
TC3,3,21,9.79,-17.56,sei,NA,NA
TC3,3,22,9.83,-17.21,sei,NA,NA
TC3,3,23,10.05,-17.61,sei,NA,NA
TC3,3,24,9.99,-17.95,sei,NA,NA
TC3,3,25,9.42,-18.33,sei,NA,NA
TC3,3,26,9.72,-17.93,sei,NA,NA
TC3,3,27,9.47,-18.48,sei,NA,NA
TC3,3,28,9.98,-17.87,sei,NA,NA
TC3,3,29,10.38,-17.33,sei,NA,NA
TC3,3,30,10.63,-17.52,sei,NA,NA
TC3,3,31,10.39,-16.99,sei,NA,NA
TC3,3,32,10.2,-17.84,sei,NA,NA
TC3,3,33,10.23,-17.24,sei,NA,NA
TC3,3,34,10.51,-17.08,sei,NA,NA
TC3,3,35,10.67,-17.38,sei,NA,NA
TC3,3,36,10.14,-17.23,sei,NA,NA
TC3,3,37,9.84,-18.21,sei,NA,NA
TC3,3,38,10.34,-17.1,sei,NA,NA
TC3,3,39,10.2,-17.36,sei,NA,NA
TC3,3,40,10.25,-17.45,sei,NA,NA
TC3,3,41,9.86,-17.56,sei,NA,NA
TC3,3,42,9.77,-17.59,sei,NA,NA
TC3,3,43,9.66,-17.42,sei,NA,NA
KC7,1,1,10.4,-17.98,blue,1891,98
KC7,1,2,9.78,-17.78,blue,1891,84
KC7,1,3,9.66,-17.64,blue,1891,70
KC7,1,4,10.24,-17.35,blue,1891,56
KC7,1,5,10.27,-17.63,blue,1891,42
KC7,1,6,10.09,-17.78,blue,1891,28
KC7,1,7,9.75,-17.94,blue,1891,14
KC7,1,8,9.24,-18.23,blue,1891,0
KC7,1,9,10.14,-18.8,blue,1890,351
KC7,1,10,10.09,-18.93,blue,1890,337
KC7,1,11,9.9,-18.87,blue,1890,323
KC7,1,12,10.01,-18.89,blue,1890,309
KC7,1,13,10.09,-18.91,blue,1890,295
KC7,1,14,10.21,-18.92,blue,1890,281
KC7,1,15,9.81,-18.98,blue,1890,267
KC7,1,16,9.13,-18.76,blue,1890,253
KC7,1,17,9.32,-18.69,blue,1890,239
KC7,1,18,9.75,-18.73,blue,1890,225
KC7,1,19,9.54,-19.3,blue,1890,211
KC7,1,20,9.16,-19.45,blue,1890,197
KC7,1,21,9.54,-18.71,blue,1890,183
KC7,1,22,9.45,-18.43,blue,1890,169
KC7,1,23,9.87,-18.66,blue,1890,155
KC7,1,24,10.13,-18.83,blue,1890,141
KC7,1,25,10.38,-18.84,blue,1890,127
KC7,1,26,10.68,-19.11,blue,1890,113
KC7,1,27,10.53,-19.01,blue,1890,99
KC7,1,28,10.5,-18.98,blue,1890,85
KC7,1,29,10.25,-18.87,blue,1890,71
KC7,1,30,10.17,-18.85,blue,1890,57
KC7,1,31,10.05,-18.91,blue,1890,43
KC7,1,32,9.37,-19.78,blue,1890,29
KC7,1,33,9.15,-19.08,blue,1890,15
KC7,1,34,9.05,-18.42,blue,1890,1
KC7,1,35,9.79,-18.31,blue,1889,350
KC7,1,36,10.24,-18.52,blue,1889,336
KC7,1,37,10.37,-18.53,blue,1889,322
KC7,1,38,10.45,-18.64,blue,1889,308
KC7,1,39,10.38,-18.95,blue,1889,294
KC7,1,40,10.24,-19.19,blue,1889,280
KC7,1,41,10.23,-19.16,blue,1889,266
KC7,1,42,10.36,-19.15,blue,1889,252
KC7,1,43,10.25,-19.33,blue,1889,238
KC7,1,44,10.38,-19.49,blue,1889,224
KC7,1,45,9.8,-19.9,blue,1889,210
KC7,1,46,9.22,-19.71,blue,1889,196
KC7,1,47,9.57,-19.21,blue,1889,182
KC7,1,48,9.67,-18.15,blue,1889,168
KC7,1,49,9.99,-18.46,blue,1889,154
KC7,1,50,9.71,-18.43,blue,1889,140
KC7,1,51,9.96,-18.6,blue,1889,126
KC7,1,52,10.14,-18.43,blue,1889,112
KC7,1,53,10.02,-18.33,blue,1889,98
KC7,1,54,9.98,-18.32,blue,1889,84
KC7,1,55,9.95,-18.63,blue,1889,70
KC7,1,56,10.07,-18.6,blue,1889,56
KC7,1,57,9.62,-19.01,blue,1889,42
KC7,1,58,9.33,-19.04,blue,1889,28
KC7,1,59,9.41,-18.5,blue,1889,14
KC7,1,60,9.49,-17.8,blue,1889,0
KC7,1,61,9.13,-16.84,blue,1888,351
KC7,1,62,8.81,-16.96,blue,1888,337
KC7,1,63,8.74,-17.55,blue,1888,323
KC7,1,64,10.07,-17.83,blue,1888,309
KC7,1,65,10.24,-18,blue,1888,295
KC7,1,66,9.87,-17.82,blue,1888,281
KC7,1,67,9.5,-17.55,blue,1888,267
KC7,1,68,9.68,-17.79,blue,1888,253
KC7,1,69,9.68,-17.73,blue,1888,239
KC7,1,70,9.4,-17.57,blue,1888,225
KC7,1,71,8.98,-17.54,blue,1888,211
KC7,1,72,8.7,-17.65,blue,1888,197
KC7,1,73,8.77,-17.57,blue,1888,183
