Whale,ID,Samp.No,d15N, d13C,Spp,Year,Day
KC1,1,1,10.53,-17.29,fin,NA,NA
KC1,1,2,10.3,-17.07,fin,NA,NA
KC1,1,3,10.57,-16.73,fin,NA,NA
KC1,1,4,10.2,-16.91,fin,NA,NA
KC1,1,5,10.54,-17.39,fin,NA,NA
KC1,1,6,10.46,-16.83,fin,NA,NA
KC1,1,7,10.36,-17.1,fin,NA,NA
KC1,1,8,9.92,-16.78,fin,NA,NA
KC1,1,9,10.48,-16.88,fin,NA,NA
KC1,1,10,10.2,-17,fin,NA,NA
KC1,1,11,10.05,-16.86,fin,NA,NA
KC1,1,12,8.91,-17.23,fin,NA,NA
KC1,1,13,8.5,-16.95,fin,NA,NA
KC1,1,14,8.73,-16.86,fin,NA,NA
KC1,1,15,9.65,-16.87,fin,NA,NA
KC1,1,16,11.58,-16.93,fin,NA,NA
KC1,1,17,9.38,-16.93,fin,NA,NA
KC1,1,18,7.94,-17.3,fin,NA,NA
KC1,1,19,8,-17.9,fin,NA,NA
KC1,1,20,10.38,-16.74,fin,NA,NA
KC1,1,21,11.43,-16.51,fin,NA,NA
KC1,1,22,11.71,-16.56,fin,NA,NA
KC1,1,23,11.7,-16.56,fin,NA,NA
KC1,1,24,11.34,-16.71,fin,NA,NA
KC1,1,25,11.14,-16.58,fin,NA,NA
KC1,1,26,11.04,-16.42,fin,NA,NA
KC1,1,27,11.46,-16.58,fin,NA,NA
KC1,1,28,11.93,-16.52,fin,NA,NA
KC1,1,29,11.57,-16.57,fin,NA,NA
KC1,1,30,12.3,-16.61,fin,NA,NA
KC1,1,31,13.19,-16.76,fin,NA,NA
KC1,1,32,12.12,-16.5,fin,NA,NA
KC1,1,33,10.48,-16.17,fin,NA,NA
KC1,1,34,9.95,-16.45,fin,NA,NA
KC1,1,35,9.35,-17.16,fin,NA,NA
KC1,1,36,8.95,-17.25,fin,NA,NA
KC1,1,37,10.79,-16.78,fin,NA,NA
KC1,1,38,11.73,-16.85,fin,NA,NA
KC1,1,39,11.48,-17.11,fin,NA,NA
KC1,1,40,12.35,-16.67,fin,NA,NA
KC1,1,41,12.81,-16.64,fin,NA,NA
KC1,1,42,12.72,-16.7,fin,NA,NA
KC1,1,43,12.51,-16.66,fin,NA,NA
KC1,1,44,12.78,-16.64,fin,NA,NA
KC1,1,45,12.54,-16.97,fin,NA,NA
KC2,2,1,11.33,-17.63,fin,NA,NA
KC2,2,2,11.43,-17.6,fin,NA,NA
KC2,2,3,11.23,-17.44,fin,NA,NA
KC2,2,4,10.64,-17.51,fin,NA,NA
KC2,2,5,10.13,-17.51,fin,NA,NA
KC2,2,6,9.97,-17.61,fin,NA,NA
KC2,2,7,9.93,-17.71,fin,NA,NA
KC2,2,8,10.29,-17.66,fin,NA,NA
KC2,2,9,10.71,-17.93,fin,NA,NA
KC2,2,10,10.84,-18.1,fin,NA,NA
KC2,2,11,10.73,-17.97,fin,NA,NA
KC2,2,12,10.57,-18.09,fin,NA,NA
KC2,2,13,10.47,-17.91,fin,NA,NA
KC2,2,14,10.49,-17.79,fin,NA,NA
KC2,2,15,10.33,-17.72,fin,NA,NA
KC2,2,16,10.03,-17.56,fin,NA,NA
KC2,2,17,10.35,-17.51,fin,NA,NA
KC2,2,18,10.68,-17.42,fin,NA,NA
KC2,2,19,10.85,-17.36,fin,NA,NA
KC2,2,20,10.97,-17.45,fin,NA,NA
KC2,2,21,11.02,-17.71,fin,NA,NA
KC2,2,22,10.89,-17.64,fin,NA,NA
KC2,2,23,11.03,-17.76,fin,NA,NA
KC2,2,24,11.06,-17.87,fin,NA,NA
KC2,2,25,10.92,-17.82,fin,NA,NA
KC2,2,26,10.97,-17.74,fin,NA,NA
KC2,2,27,10.95,-17.82,fin,NA,NA
KC2,2,28,10.89,-17.86,fin,NA,NA
KC2,2,29,11.09,-17.64,fin,NA,NA
KC2,2,30,11.41,-17.65,fin,NA,NA
KC2,2,31,11.41,-17.78,fin,NA,NA
KC2,2,32,11.07,-17.77,fin,NA,NA
KC2,2,33,10.97,-17.9,fin,NA,NA
KC2,2,34,10.35,-18.16,fin,NA,NA
KC2,2,35,10.73,-18.21,fin,NA,NA
KC2,2,36,10.23,-18.25,fin,NA,NA
KC3,3,1,11.22,-18.23,fin,NA,NA
KC3,3,2,11.52,-18.2,fin,NA,NA
KC3,3,3,11.39,-18.56,fin,NA,NA
KC3,3,4,11.38,-18.34,fin,NA,NA
KC3,3,5,10.94,-18.07,fin,NA,NA
KC3,3,6,10.71,-18.26,fin,NA,NA
KC3,3,7,10.83,-18.66,fin,NA,NA
KC3,3,8,10.7,-18.78,fin,NA,NA
KC3,3,9,9.83,-18.19,fin,NA,NA
KC3,3,10,9.53,-17.74,fin,NA,NA
KC3,3,11,9.76,-17.77,fin,NA,NA
KC3,3,12,9.22,-17.07,fin,NA,NA
KC3,3,13,9.21,-16.17,fin,NA,NA
KC3,3,14,8.64,-16.91,fin,NA,NA
KC3,3,15,9.71,-17.44,fin,NA,NA
KC3,3,16,10.74,-17.78,fin,NA,NA
KC3,3,17,11.53,-17.9,fin,NA,NA
KC3,3,18,11.75,-18.12,fin,NA,NA
KC3,3,19,11.82,-18,fin,NA,NA
KC3,3,20,11.77,-18.04,fin,NA,NA
KC3,3,21,11.87,-18.19,fin,NA,NA
KC3,3,22,11.65,-18.32,fin,NA,NA
KC3,3,23,11.36,-18.18,fin,NA,NA
KC3,3,24,11.38,-17.76,fin,NA,NA
KC3,3,25,11.5,-17.91,fin,NA,NA
KC3,3,26,10.88,-17.37,fin,NA,NA
KC3,3,27,10.89,-17.24,fin,NA,NA
KC3,3,28,11.05,-17.11,fin,NA,NA
KC3,3,29,10.57,-17.19,fin,NA,NA
KC3,3,30,10.78,-17.28,fin,NA,NA
KC3,3,31,9.82,-17.29,fin,NA,NA
KC3,3,32,9.64,-17.37,fin,NA,NA
KC3,3,33,10.05,-17.18,fin,NA,NA
KC3,3,34,11.11,-17.33,fin,NA,NA
KC4,4,1,12.4,-17.39,fin,NA,NA
KC4,4,2,13,-17.17,fin,NA,NA
KC4,4,3,13.42,-16.88,fin,NA,NA
KC4,4,4,13.77,-16.84,fin,NA,NA
KC4,4,5,14.26,-17.05,fin,NA,NA
KC4,4,6,14.45,-17.17,fin,NA,NA
KC4,4,7,14.5,-17.12,fin,NA,NA
KC4,4,8,14.39,-17.17,fin,NA,NA
KC4,4,9,13.99,-17.25,fin,NA,NA
KC4,4,10,13.48,-17.05,fin,NA,NA
KC4,4,11,12.46,-16.79,fin,NA,NA
KC4,4,12,11.46,-16.88,fin,NA,NA
KC4,4,13,10.91,-17.1,fin,NA,NA
KC4,4,14,10.88,-17.04,fin,NA,NA
KC4,4,15,11.22,-16.97,fin,NA,NA
KC4,4,16,11.2,-16.93,fin,NA,NA
KC4,4,17,10.97,-16.76,fin,NA,NA
KC4,4,18,10.93,-17.12,fin,NA,NA
KC4,4,19,10.87,-17.41,fin,NA,NA
KC4,4,20,10.97,-17.63,fin,NA,NA
KC4,4,21,11.51,-17.17,fin,NA,NA
KC4,4,22,11.71,-17.26,fin,NA,NA
KC4,4,23,11.55,-17.13,fin,NA,NA
KC4,4,24,11.44,-17.16,fin,NA,NA
KC4,4,25,10.95,-16.84,fin,NA,NA
KC4,4,26,13.34,-17.01,fin,NA,NA
KC4,4,27,13.74,-17.1,fin,NA,NA
KC4,4,28,14.11,-17.16,fin,NA,NA
KC4,4,29,13.37,-17,fin,NA,NA
KC4,4,30,12.96,-16.87,fin,NA,NA
KC4,4,31,11.71,-16.87,fin,NA,NA
KC4,4,32,11.86,-16.39,fin,NA,NA
KC4,4,33,11.65,-16.28,fin,NA,NA
KC4,4,34,11.06,-16.39,fin,NA,NA
KC4,4,35,10.89,-16.43,fin,NA,NA
KC4,4,36,10.32,-16.57,fin,NA,NA
KC4,4,37,10.83,-16.47,fin,NA,NA
KC4,4,38,10.36,-16.46,fin,NA,NA
KC4,4,39,10.83,-16.45,fin,NA,NA
KC4,4,40,11.28,-17.02,fin,NA,NA
KC4,4,41,11.03,-16.76,fin,NA,NA
KC4,4,42,11.3,-17.07,fin,NA,NA
KC4,4,43,11.48,-16.92,fin,NA,NA
KC4,4,44,11.54,-16.92,fin,NA,NA
KC4,4,45,11.54,-17.01,fin,NA,NA
KC4,4,46,11.32,-16.94,fin,NA,NA
KC4,4,47,11.83,-17.05,fin,NA,NA
KC4,4,48,11.37,-16.94,fin,NA,NA
KC5,5,1,10.03,-17.42,fin,NA,NA
KC5,5,2,10.6,-17.18,fin,NA,NA
KC5,5,3,10.67,-16.99,fin,NA,NA
KC5,5,4,10.6,-17,fin,NA,NA
KC5,5,5,10.89,-17.17,fin,NA,NA
KC5,5,6,11.45,-16.97,fin,NA,NA
KC5,5,7,11.57,-16.95,fin,NA,NA
KC5,5,8,11.58,-16.9,fin,NA,NA
KC5,5,9,11.43,-16.99,fin,NA,NA
KC5,5,10,11.48,-17.22,fin,NA,NA
KC5,5,11,11.61,-17.38,fin,NA,NA
KC5,5,12,11.75,-17.63,fin,NA,NA
KC5,5,13,11.72,-17.77,fin,NA,NA
KC5,5,14,11.95,-17.99,fin,NA,NA
KC5,5,15,11.97,-17.97,fin,NA,NA
KC5,5,16,11.9,-18.03,fin,NA,NA
KC5,5,17,12,-18.05,fin,NA,NA
KC5,5,18,12.19,-18.13,fin,NA,NA
KC5,5,19,12.07,-18.14,fin,NA,NA
KC5,5,20,11.92,-18.04,fin,NA,NA
KC5,5,21,12.02,-18.18,fin,NA,NA
KC5,5,22,12.51,-18.07,fin,NA,NA
KC5,5,23,12.72,-18.02,fin,NA,NA
KC5,5,24,12.81,-17.98,fin,NA,NA
KC5,5,25,13.16,-18,fin,NA,NA
KC5,5,26,13.19,-18.07,fin,NA,NA
KC5,5,27,13.28,-17.96,fin,NA,NA
KC5,5,28,13.32,-18.12,fin,NA,NA
KC5,5,29,13.29,-18.18,fin,NA,NA
KC6,6,1,9.83,-17.53,fin,NA,NA
KC6,6,2,8.94,-17.61,fin,NA,NA
KC6,6,3,8.71,-17.83,fin,NA,NA
KC6,6,4,7.67,-18.08,fin,NA,NA
KC6,6,5,8.03,-18.04,fin,NA,NA
KC6,6,6,7.48,-18.09,fin,NA,NA
KC6,6,7,8.06,-17.59,fin,NA,NA
KC6,6,8,8.8,-17.09,fin,NA,NA
KC6,6,9,10.11,-17.27,fin,NA,NA
KC6,6,10,10.47,-17.41,fin,NA,NA
KC6,6,11,10.24,-17.24,fin,NA,NA
KC6,6,12,9.26,-17.27,fin,NA,NA
KC6,6,13,8.34,-17.68,fin,NA,NA
KC6,6,14,9.01,-17.55,fin,NA,NA
KC6,6,15,8.5,-17.39,fin,NA,NA
KC6,6,16,9.48,-17.53,fin,NA,NA
KC6,6,18,9.83,-17.77,fin,NA,NA
KC6,6,19,9.92,-17.21,fin,NA,NA
KC6,6,20,9.76,-16.91,fin,NA,NA
KC6,6,21,9.53,-16.89,fin,NA,NA
KC6,6,22,9.5,-17.06,fin,NA,NA
KC6,6,23,9.89,-17.3,fin,NA,NA
KC6,6,24,9.39,-17.53,fin,NA,NA
KC6,6,25,8.96,-17.3,fin,NA,NA
KC6,6,26,8.59,-17.11,fin,NA,NA
KC6,6,27,8.11,-17.09,fin,NA,NA
KC6,6,28,7.82,-17.05,fin,NA,NA
KC6,6,29,7.41,-17.23,fin,NA,NA
KC6,6,30,6.97,-17.48,fin,NA,NA
KC6,6,31,6.39,-17.7,fin,NA,NA
KC6,6,32,6.78,-18.04,fin,NA,NA
KC6,6,33,7.91,-17.94,fin,NA,NA
