,738,938,1068,5,418,618,908,941,51,931,76,921,928,942,4,416,616,57,120,712,101,84,936,940,937,1071,917,91,58,927,933,56,685,714,143,80,47,925,919,288,488,137,27,49,930,1058,765,949,916,77,733,3,160,474,674,31,72,1036,40,66,686,694,677,14,17,82,54,1040,94,683,1053,81,33,46,48,923,89,929,692,701,1002,104,934,53,736,945,725,761,465,665,984,18,60,43,28,99,1022,117,85,1042,8,909,424,624,254,1047,16,blue,day
V1,-21.5949161307586,-22.5215819257966,-20.8924321373746,-19.94832647802,-20.4017116770248,-20.4017116770248,-21.9947065560386,-22.4493783436011,-20.76351349,-22.4460615147989,-21.7823796608015,-22.5215819257966,-22.0834356240522,-22.5627785331918,-19.5298776398162,-19.9485291949078,-19.9485291949078,-20.77030671,-19.7524989890071,-21.3312873755895,-19.7344466979295,-21.8130872512242,-22.0344765091505,-22.3819294859355,-22.0271301310641,-20.9681224156756,-22.4426032536233,-21.8142699497408,-20.7783587393931,-21.9849068536851,-22.0406212882279,-20.7638981997209,-21.9720664843998,-21.3074603344236,-18.7214179947197,-21.8006639610412,-20.0587105369948,-22.4488963723102,-21.9331798191442,-20.393850641474,-20.393850641474,-19.0451591208486,-20.1416978613342,-20.0607589929486,-22.0203503190521,-20.8512956060137,-21.7536613182624,-20.6376077587227,-22.0784580796589,-21.8251341438126,-21.3706753768625,-20.1287478329212,-19.1672394470326,-20.3306530328704,-20.3306530328704,-20.1274649870554,-21.849112866766,-20.8512956060137,-19.8816507971583,-20.3695741717603,-22.0961294683264,-22.3009533125373,-22.3168253842522,-19.8670765982257,-19.8670765982257,-21.823654886161,-20.7599447472156,-20.9082891576167,-19.3332931092564,-22.0955477889177,-20.9488071582519,-21.8441746176563,-19.952661351202,-20.0587105369948,-20.0024619612738,-22.1546063336275,-21.8164241210308,-22.5204022285865,-22.1180695040426,-22.2830213461239,-20.8690371976611,-19.414855092185,-22.5612897094096,-20.80668312,-21.7021415486971,-20.6247932576517,-21.5314271704617,-22.3114379767181,-19.9203579892321,-19.9203579892321,-20.8798749702095,-20.2051503061217,-20.7662082250849,-20.0607589929486,-19.8782999424398,-19.3173994777714,-20.89495708953,-19.7427487416992,-21.6505399748432,-20.906105375469,-20.1162327938269,-21.746440232553,-20.3856364165821,-20.3856364165821,-20.3131257791367,-20.8925154983747,-19.8670765982257,-17.82,30
V2,-22.6508527005881,-23.1267006392096,-21.0712427330534,-18.1870078679373,-20.6618482998396,-20.6618482998396,-22.4774128558682,-22.7695754509158,-20.91421607,-22.9267911988262,-21.1601302604503,-23.1279752427894,-22.9108959979584,-22.9831210175898,-17.6995603927748,-20.6845036815342,-20.6845036815342,-20.91421607,-20.644482149813,-21.6758833155924,-20.7066008589894,-21.7304429299214,-22.4131313963243,-24.6006469792202,-22.6656633042345,-21.1337591679402,-22.7335092274532,-22.0676996791397,-20.8170685305648,-22.0391845575845,-22.5686947879627,-20.9053544991985,-21.4778989484081,-22.1690325054019,-20.1286903610803,-21.9991813326706,-18.3209405311643,-22.1150157708319,-22.7616976586323,-20.2297109092017,-20.2297109092017,-20.3814117656497,-19.6718538593308,-18.7806739654425,-22.5211198225083,-20.9922060835905,-22.3728027317551,-20.8050120123903,-22.2617889226309,-21.9149783824451,-21.5403475109905,-18.0869880118232,-20.5152588443643,-19.5616879318045,-19.5616879318045,-18.125096509518,-21.7638812374059,-20.9922060835905,-17.9823240153165,-20.4907688824172,-21.7533254177911,-21.9184317368988,-21.8308612171632,-17.4573501950009,-17.8071715785894,-21.6200814503786,-20.9264962672444,-21.0166780451371,-20.552708838127,-21.4961212609043,-21.1890825873507,-21.6234699664261,-18.1720913830793,-17.8071715785894,-18.29383735167,-22.6590539064457,-21.8763646158827,-23.1307600279926,-21.947182364681,-21.947182364681,-20.9309345836255,-20.3329465228795,-22.9913390534167,-20.89762093,-21.8102059609724,-21.2892878098862,-22.2256744128614,-22.3173812326071,-20.3669843346709,-20.3669843346709,-21.198924729708,-18.7663433464889,-20.9117239926754,-17.8150842985956,-18.7277233368612,-20.6073995069027,-21.1028197495683,-20.3409386096055,-21.3724077381,-21.1086647782768,-18.5684067894086,-22.3976507979197,-20.5846840877292,-20.5846840877292,-18.3947951049086,-21.0709558842705,-17.8071715785894,-17.77,58
V3,-22.6913073425771,-23.4075396804744,-20.9006530335581,-18.1914135791053,-20.1722994186851,-20.1722994186851,-22.6463165131323,-23.4372401499015,-20.91432809,-23.522560856577,-21.3605020690426,-22.7751409918468,-22.7756426489774,-22.8393979584849,-17.645715962921,-20.7948352209426,-20.7948352209426,-20.76681657,-20.080483647824,-21.6676680362919,-20.3558913982464,-21.3890237656281,-22.7897373948375,-26.0651182896989,-23.4373430619511,-21.076981804191,-23.4371862740869,-21.4269425323687,-20.7653136632749,-22.2596816682812,-22.7892610910038,-20.7498562992433,-21.2780975521138,-22.2637389039785,-19.5650757737599,-22.212467449161,-17.3024052602841,-22.1687406030126,-23.437121132311,-20.6326294795308,-20.6326294795308,-20.3646682538493,-18.9990655929057,-17.3536421014043,-22.3490563698737,-20.9007617637511,-22.580353758124,-20.5472541992922,-22.1697806772208,-21.5829576762328,-21.4519084706647,-17.3029459105413,-20.3650869238827,-19.2896639593155,-19.2896639593155,-17.2969147493423,-21.3890566499278,-20.9007617637511,-17.7069627041901,-20.1720438598243,-21.3646434755816,-21.5446775461465,-21.3649122867852,-17.2728733639735,-17.7073674709788,-21.4270171617975,-20.7579445411998,-20.7655562690576,-20.3650003791906,-21.0809532148786,-21.1275301720735,-20.9583688460816,-18.2568445031378,-17.6462756961784,-17.7619576657352,-22.7745682055906,-22.0030609021255,-23.4378049349706,-21.6784440880703,-21.2780600669816,-20.7654640221638,-20.0804245826606,-22.7754567498952,-20.74990726,-22.120395135167,-20.9577755483781,-22.3909355006109,-22.4366452046893,-20.0803459233166,-20.0803459233166,-21.1956830816427,-19.0592864487694,-20.749874668667,-17.1856418423704,-18.257777059474,-20.3648739923313,-20.9127463237466,-20.0804061134269,-21.3887901643513,-21.1277160128128,-17.7622582968164,-22.5802963357317,-20.3872357712527,-20.3872357712527,-17.2972266366484,-20.9228071871436,-18.7676597776084,-17.76,89
V4,-21.2066753936292,-23.3570796339513,-20.191545274988,-18.4466658074324,-18.4357543949215,-18.4357543949215,-21.7459794264573,-23.307560317553,-20.23160779,-22.8380293656273,-19.59136835916,-22.5683695595983,-22.5682995830809,-22.7259835818028,-18.4461827159001,-19.5923776856679,-19.5923776856679,-20.23149121,-17.2846124955281,-21.2725634052785,-17.6147821245515,-21.2795054452797,-23.3071085248431,-24.4584207181058,-23.3575299581518,-20.3317652307397,-23.3078291465934,-21.9691803363751,-20.2144093781996,-22.1023811158647,-21.9830830232491,-20.2143098668397,-21.4900889132603,-21.1719096355989,-16.9776601759078,-22.6721397772174,-18.9650517395268,-21.5631233913936,-22.5690315702399,-20.9107207429591,-20.9107207429591,-17.6148647761968,-19.433710986388,-18.8454058830011,-21.4113708555644,-20.1911582159875,-21.6673795682589,-17.8640657695802,-22.6495101987166,-21.4849915980249,-21.663322760482,-18.9638848899502,-18.1178874011626,-18.5722253854703,-18.5722253854703,-18.8444401651699,-21.2792738664196,-20.3201679744816,-18.4461266952849,-18.4360277058361,-21.4902914999278,-21.5036587470248,-21.490097531141,-18.9484946616383,-19.1330740369427,-21.4139708266425,-20.2127256024176,-20.2096722772902,-18.0239110763836,-20.9206304517872,-20.4181843884847,-20.8364538399635,-18.7468780103416,-18.8205621179424,-18.8449249157048,-21.4125216692004,-22.210321020952,-23.3572285950713,-21.7916619479452,-21.4902914999278,-20.2510498381739,-17.7362964261186,-22.4935697870132,-20.19115822,-22.0061962417672,-19.4468740597358,-21.3684576246649,-22.1114809159684,-18.0241415031086,-18.0241415031086,-20.471765105137,-19.2736077901333,-20.2316831809624,-19.060662406228,-18.7465498189477,-17.6148821819544,-20.1730699060705,-18.0239342322551,-21.7317118108634,-20.7611730532762,-18.7093375061002,-21.4815124587129,-19.5923287373083,-19.5923287373083,-18.8194806520643,-20.2577263923242,-19.022227973539,-17.65,118
V5,-21.9385714801067,-23.7865515820932,-19.8899893879116,-20.4044550403118,-19.7237481016437,-19.7237481016437,-21.9819527489379,-22.5944101275276,-19.89715385,-22.0343144267274,-19.7211491063897,-21.740903520194,-22.2816302527673,-22.9430256952493,-20.4044550403118,-19.6056028631513,-19.6056028631513,-19.32063563,-18.5082141328891,-21.2294629283619,-18.3291969356954,-21.694833679998,-23.293807315602,-25.9396872467424,-23.4794518405192,-19.9662641990927,-23.293807315602,-21.8584480942721,-19.96527676,-22.5944101275276,-22.5944101275276,-19.89715385,-21.5541504083868,-21.9146292394004,-18.1526615364629,-23.0503200328657,-20.410118705305,-22.0343144267274,-21.6020243719596,-21.0888646158018,-21.0888646158018,-18.1490132894268,-20.3961196766953,-20.4793767204688,-22.0084983292186,-19.8899893879116,-21.8980593233445,-18.3291969356954,-22.5944101275276,-21.7124811588559,-21.9146292394004,-20.2447479826519,-18.3291969356954,-19.7237481016437,-19.7237481016437,-20.4966944576861,-21.0888646158018,-19.8058816011225,-20.4044550403118,-20.213509138765,-21.7939753775827,-21.6659874584542,-21.7939753775827,-20.3180380690209,-20.2975389154625,-21.694833679998,-19.89715385,-20.0484785768912,-18.3291969356954,-21.4046906839801,-20.2532554603078,-21.1576916199755,-20.3590680033281,-20.4044550403118,-20.4044189058199,-21.3799794099267,-22.3739004525832,-23.293807315602,-21.9349220651062,-21.5541504083868,-19.9628050872706,-19.0205756202993,-21.2970249663246,-19.89715385,-21.9424838504995,-20.071671798681,-21.8566275764626,-21.9741297265433,-19.6056028631513,-19.6056028631513,-20.3872260089172,-20.4762123970333,-19.81271003,-20.4348641556836,-20.3919112351423,-18.513157269516,-19.8127100265281,-19.0205756202993,-21.491043449664,-20.3872260089172,-20.2709546201808,-21.8980593233445,-20.7471876880217,-20.7471876880217,-20.4966944576861,-20.2532554603078,-20.2709546201808,-17.82,149
V6,-21.3959840615272,-24.1482977282206,-21.1184396074323,-21.0813740074975,-19.1984747959276,-19.1984747959276,-21.8618262136063,-22.23150984146,-20.75400359,-21.380709767586,-19.115691996871,-20.8244442323885,-21.3486672578177,-23.7174349883114,-21.1052840017922,-20.0167730866506,-20.0167730866506,-18.91517644,-18.5601401413049,-21.3934616344497,-17.8542239136501,-21.7056452006708,-23.3893753347685,-26.8525878696518,-23.1690340213945,-20.941506390175,-22.2329755767165,-22.1298060375917,-18.8360623535669,-21.1082030269523,-22.5042960559585,-20.6500529240267,-21.7760092776634,-21.3635531858892,-17.9019452372765,-22.8242033200741,-20.9108454154541,-21.3809690871015,-21.3484370206169,-19.6869807647924,-19.6869807647924,-17.9979619193312,-21.0287843383854,-21.0111223140793,-21.4158986985025,-20.8835875322161,-21.2629562832389,-17.9885402165522,-21.8882687272928,-21.0057521612929,-21.5398083043392,-20.7738758465991,-17.9013467211035,-20.0169075676548,-20.0169075676548,-21.0750640494705,-20.0920100171142,-21.1739136730278,-21.0813845117329,-19.9619050838539,-21.8358717787954,-21.8782555168189,-21.6815521329919,-20.7298105609954,-20.9388493249921,-21.2161327323282,-20.4463124714015,-20.9414950648859,-17.896633732345,-21.4665344055059,-20.8841066386179,-21.1914233226869,-21.0629856806555,-21.081393074704,-21.0730395932697,-20.6011470942705,-22.4406397453931,-23.3903492683514,-22.0639835524337,-21.8358717787954,-20.387895688768,-18.4059914085221,-20.8268900504658,-20.64932103,-21.9024193681967,-19.6852151376162,-21.5269918150361,-21.7744146138012,-19.1165142144898,-19.1165142144898,-21.2278368377566,-21.0672437457097,-20.6498561022076,-20.8070545730596,-21.0672515757329,-17.9971004283803,-19.5508476753347,-19.1168329399104,-21.7048065001683,-21.227505728666,-21.0728797474091,-21.4056639155685,-19.1982910397689,-19.1982910397689,-21.002990582529,-21.1741407612523,-21.07303967858,-17.67,179
V7,-21.8635044719507,-24.4606704171375,-22.1631786250994,-21.5156279615691,-21.2635955520235,-21.2635955520235,-21.8636551937352,-23.5666665070733,-22.2621576,-22.7990134784073,-20.4603205479707,-22.804432331792,-23.5662576099629,-23.5669282461745,-21.5156129596716,-21.1712795529872,-21.1712795529872,-21.62772549,-19.356002275769,-21.6463731700096,-17.9136016202994,-22.2955826383474,-23.5680948890099,-26.6364644121675,-25.007778666422,-22.3284849120929,-25.359723027305,-22.5156021702868,-21.6273912062003,-23.2619862052295,-23.6764673708129,-22.3285172545615,-22.185049354975,-21.7019956312747,-17.7510905892444,-22.8535590952214,-21.3794088770559,-22.7984832476601,-23.5665098527173,-21.6363110370717,-21.6363110370717,-20.1172279716974,-21.4196299672525,-21.5158830081701,-22.1277564869921,-22.0514013267952,-21.5186881251478,-18.7247755778289,-24.4597930401934,-21.538437972246,-21.699406870604,-21.3792940684858,-17.7512577576489,-21.2640544045048,-21.2640544045048,-21.4197785357282,-21.166641634877,-22.0884142110032,-21.5155972043253,-21.1993538538325,-22.0839919228112,-22.1257176016534,-22.0838204652801,-21.3853224205335,-21.3853224205335,-21.9906330491488,-22.0918035012569,-22.1974232159896,-18.7988328532606,-21.7814634160207,-22.1143714368894,-20.4611521826434,-21.5157876968068,-21.5155660176725,-21.5155475260152,-22.1274855771443,-22.3341096451935,-24.4786143190748,-22.2670253303322,-22.0103680846646,-22.311681725587,-20.11626851372,-24.390563381327,-22.31208941,-22.270802942926,-20.239462939308,-21.5843697052874,-21.5843173311241,-20.4602998100831,-20.4602998100831,-22.1627132432508,-21.4481261534702,-22.0446290329039,-21.3111546073679,-21.5005590771346,-19.1485335083086,-21.627668222544,-21.1662149917849,-21.5390969077447,-22.0884142110032,-21.4172190764513,-21.4346774827917,-20.8237154177849,-20.8237154177849,-21.3111395537976,-22.0882913747369,-21.5155660176725,-17.68,209
V8,-22.2183429702439,-24.4297639109278,-22.73103752693,-21.7630862920509,-21.5615244815261,-21.5615244815261,-22.2183782223792,-23.5593153151021,-22.41985205,-23.7773464246775,-21.6511690476126,-24.0925386413994,-23.7774974327943,-23.7783440287774,-21.7320926100773,-21.7747728447809,-21.7747728447809,-22.06852691,-21.5598897611602,-22.0568041400202,-18.4795838122027,-22.2540126187933,-24.7084000228455,-26.4157114889685,-24.3952892156938,-22.7748206676706,-25.314362009211,-22.4764136993765,-22.3445495100187,-24.0927468728488,-23.6073500248325,-22.7744648579824,-22.6100539274801,-22.0353063693007,-17.7026873889236,-22.7568896736851,-21.478963726914,-23.0121406258353,-23.7767099648728,-22.0243304626581,-22.0243304626581,-20.7271544622075,-21.5411860863626,-21.7009403744106,-22.1676601169893,-22.0909326553894,-22.0353898051044,-20.0854069082432,-24.570553180029,-21.6512508426447,-22.0906896261514,-21.4788827622526,-18.7216491269233,-21.775041430211,-21.775041430211,-21.6686971477842,-21.8053120992972,-22.2858741205048,-21.7322276127834,-22.0252996470847,-22.2565669858138,-22.2566438128023,-22.0512191749476,-21.6823948423523,-21.6823948423523,-21.9709327053956,-22.2379787731577,-22.4979829331064,-19.9138293823586,-21.9069312975525,-22.4140559300718,-21.6512009229643,-21.6029992312967,-21.7009403744106,-21.7322725696329,-22.3816620423364,-22.4539781476928,-24.5705213563257,-22.4189025874312,-22.1807046223598,-22.7620967450879,-19.6277484177974,-24.7783597885712,-22.96980929,-22.7516345067424,-22.0238907176691,-22.2180099162018,-22.0628203265503,-21.2123494149775,-21.2123494149775,-22.2164220379017,-21.6689111802025,-22.4199902067828,-21.4312559432054,-21.668909214795,-20.7281230906389,-22.3446100150283,-21.8055196304206,-22.2535524395526,-22.2858741205048,-21.7749149810855,-21.348175916455,-21.8052672930552,-21.8052672930552,-21.4532958009641,-22.3264900207028,-21.732249739094,-17.66,239
V9,-22.4984690962022,-23.7297689988321,-22.1923356777874,-21.6432608066804,-21.7463925091185,-21.7463925091185,-22.4984690962022,-23.1066665886682,-22.61923632,-23.6665205360417,-22.1503571972387,-24.3859649900844,-24.1044612642575,-24.3859649900844,-21.6196681031331,-21.5894536099083,-21.5894536099083,-21.77459807,-21.437426143994,-22.0634597311242,-19.3963568873344,-22.3298429929483,-23.362661186277,-26.2713085938191,-24.7912225286005,-22.8259434628027,-25.6088977356966,-22.3564524064856,-22.04778139,-24.6806819695242,-23.8008033057604,-22.45352211,-22.8082776431179,-22.0634597311242,-17.3961175823906,-22.5996556004516,-21.7083215404381,-22.9928449767222,-23.362661186277,-22.2897344225185,-22.2897344225185,-19.3963568873344,-21.60167078341,-21.7426804617678,-22.0790723371002,-22.3224533302544,-22.1389026282526,-19.3963568873344,-24.9142895063023,-21.6646121876232,-22.0634597311242,-21.4316831060618,-19.8764301403518,-21.7997297880654,-21.7997297880654,-21.5814138631467,-21.822913762549,-22.3064888380026,-21.6432608066804,-22.1503571972387,-22.3255479207303,-22.4686934929899,-22.1096706201205,-21.548186940612,-21.8039767092216,-22.1844237992177,-22.22489209,-22.8259434628027,-19.7186681299049,-22.2130051292045,-22.4535221066915,-22.1844237992177,-21.6196681031331,-21.7426804617678,-21.781415316761,-22.2139996681728,-22.3550217340404,-24.3859649900844,-22.3926123125803,-22.2761114902044,-22.9930104179018,-19.3963568873344,-24.6806819695242,-22.42488672,-22.8082776431179,-22.4002285622173,-22.202742498246,-22.1389026282526,-21.437426143994,-21.437426143994,-22.2747620596113,-21.7600524302514,-22.42488672,-21.5814138631467,-21.7426804617678,-21.2160319060982,-21.9132960344504,-22.1503571972387,-22.1503571972387,-22.2747620596113,-21.6198093220484,-20.9569716276873,-21.822913762549,-21.822913762549,-21.4772460055755,-22.2747620596113,-21.7600524302514,-17.64,268
