Rep,Day,d13C_smooth
271,30,-21.0021459900863
231,30,-20.313615289578
318,30,-20.9592468528573
192,30,-20.2766241783982
263,30,-21.6240412452824
252,30,-20.1372015032771
282,30,-21.0352069049799
293,30,-21.170481451138
297,30,-21.3902429159499
344,30,-21.3219452389317
233,30,-20.5782212528878
208,30,-20.3960304011234
236,30,-20.2225833983858
323,30,-20.8492932941704
213,30,-20.6452552322585
254,30,-20.3202925751069
248,30,-20.19456847934
226,30,-20.4456140610481
212,30,-20.0702540214434
302,30,-21.0782610680784
204,30,-20.4419230505115
342,30,-21.2593661075527
225,30,-20.2419485092402
30,30,-20.2264307750718
190,30,-20.2390285340981
210,30,-20.2277498534161
325,30,-20.9234507402051
186,30,-20.2712602231952
197,30,-20.3784472286037
343,30,-21.4190223181758
260,30,-20.4186316856141
221,30,-20.4977309103957
253,30,-20.1600661951731
338,30,-21.2652669241165
162,30,-21.6349162398042
249,30,-20.4936483746186
271,61,-21.144216447209
231,61,-20.4967463203554
318,61,-21.1237167163547
192,61,-20.5131245197865
263,61,-21.7768486909417
252,61,-20.4430447906895
282,61,-21.1658096705574
293,61,-21.2924310075959
297,61,-21.5376743387511
344,61,-21.3803071008425
233,61,-20.7162934592271
208,61,-20.6266755006291
236,61,-20.4586593011149
323,61,-21.0212297636301
213,61,-20.8053944629963
254,61,-20.5129948048089
248,61,-20.4205273695624
226,61,-20.639599598566
212,61,-20.2725117214164
302,61,-21.1717707329986
204,61,-20.6546692610646
342,61,-21.3238557724087
225,61,-20.427508219501
30,61,-20.4585319798076
190,61,-20.5011850158196
210,61,-20.3912026075039
325,61,-21.1090468249406
186,61,-20.5409431049969
197,61,-20.5574741425214
343,61,-21.461544695465
260,61,-20.5957765594856
221,61,-20.7007914789101
253,61,-20.3702430294672
338,61,-21.3785166744695
162,61,-21.6411556605359
249,61,-20.660821341553
271,92,-21.2739364435028
231,92,-20.6602586916491
318,92,-21.272080469522
192,92,-20.7263702905942
263,92,-21.9078583380583
252,92,-20.7189263832215
282,92,-21.2865471271048
293,92,-21.4103073631649
297,92,-21.6682350348322
344,92,-21.4296895393224
233,92,-20.8406124025245
208,92,-20.8328817073489
236,92,-20.6788989312192
323,92,-21.1747276992441
213,92,-20.9469113757012
254,92,-20.6860573544691
