NHMUK_ID,whale_ID,sample_cm,d15N, d13C,species
ZD.1892.3.1.1,KC7,82,9.28,-17.84,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,83,10.45,-18.85,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,84,8.89,-17.62,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,85,8.62,-17.55,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,86,8.36,-17.56,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,87,8.36,-17.76,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,88,8.8,-17.63,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,89,8.79,-17.64,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,90,9.01,-17.66,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,91,9.19,-17.68,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,92,9.3,-17.67,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,93,9.3,-17.82,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,94,9.31,-17.65,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,95,9.4,-17.76,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,96,9.5,-17.77,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,97,9.56,-17.82,Balaenoptera_musculus
C.1953.11.5.1,KC1,1,10.53,-17.29,Balaenoptera_physalus
C.1953.11.5.1,KC1,2,10.3,-17.07,Balaenoptera_physalus
C.1953.11.5.1,KC1,3,10.57,-16.73,Balaenoptera_physalus
C.1953.11.5.1,KC1,4,10.2,-16.91,Balaenoptera_physalus
C.1953.11.5.1,KC1,5,10.54,-17.39,Balaenoptera_physalus
C.1953.11.5.1,KC1,6,10.46,-16.83,Balaenoptera_physalus
C.1953.11.5.1,KC1,7,10.36,-17.1,Balaenoptera_physalus
C.1953.11.5.1,KC1,8,9.92,-16.78,Balaenoptera_physalus
C.1953.11.5.1,KC1,9,10.48,-16.88,Balaenoptera_physalus
C.1953.11.5.1,KC1,10,10.2,-17,Balaenoptera_physalus
C.1953.11.5.1,KC1,11,10.05,-16.86,Balaenoptera_physalus
C.1953.11.5.1,KC1,12,8.91,-17.23,Balaenoptera_physalus
C.1953.11.5.1,KC1,13,8.5,-16.95,Balaenoptera_physalus
C.1953.11.5.1,KC1,14,8.73,-16.86,Balaenoptera_physalus
C.1953.11.5.1,KC1,15,9.65,-16.87,Balaenoptera_physalus
C.1953.11.5.1,KC1,16,11.58,-16.93,Balaenoptera_physalus
C.1953.11.5.1,KC1,17,9.38,-16.93,Balaenoptera_physalus
C.1953.11.5.1,KC1,18,7.94,-17.3,Balaenoptera_physalus
C.1953.11.5.1,KC1,19,8,-17.9,Balaenoptera_physalus
C.1953.11.5.1,KC1,20,10.38,-16.74,Balaenoptera_physalus
C.1953.11.5.1,KC1,21,11.43,-16.51,Balaenoptera_physalus
C.1953.11.5.1,KC1,22,11.71,-16.56,Balaenoptera_physalus
C.1953.11.5.1,KC1,23,11.7,-16.56,Balaenoptera_physalus
C.1953.11.5.1,KC1,24,11.34,-16.71,Balaenoptera_physalus
C.1953.11.5.1,KC1,25,11.14,-16.58,Balaenoptera_physalus
C.1953.11.5.1,KC1,26,11.04,-16.42,Balaenoptera_physalus
C.1953.11.5.1,KC1,27,11.46,-16.58,Balaenoptera_physalus
C.1953.11.5.1,KC1,28,11.93,-16.52,Balaenoptera_physalus
C.1953.11.5.1,KC1,29,11.57,-16.57,Balaenoptera_physalus
C.1953.11.5.1,KC1,30,12.3,-16.61,Balaenoptera_physalus
C.1953.11.5.1,KC1,31,13.19,-16.76,Balaenoptera_physalus
C.1953.11.5.1,KC1,32,12.12,-16.5,Balaenoptera_physalus
C.1953.11.5.1,KC1,33,10.48,-16.17,Balaenoptera_physalus
C.1953.11.5.1,KC1,34,9.95,-16.45,Balaenoptera_physalus
C.1953.11.5.1,KC1,35,9.35,-17.16,Balaenoptera_physalus
C.1953.11.5.1,KC1,36,8.95,-17.25,Balaenoptera_physalus
C.1953.11.5.1,KC1,37,10.79,-16.78,Balaenoptera_physalus
C.1953.11.5.1,KC1,38,11.73,-16.85,Balaenoptera_physalus
C.1953.11.5.1,KC1,39,11.48,-17.11,Balaenoptera_physalus
C.1953.11.5.1,KC1,40,12.35,-16.67,Balaenoptera_physalus
C.1953.11.5.1,KC1,41,12.81,-16.64,Balaenoptera_physalus
C.1953.11.5.1,KC1,42,12.72,-16.7,Balaenoptera_physalus
C.1953.11.5.1,KC1,43,12.51,-16.66,Balaenoptera_physalus
C.1953.11.5.1,KC1,44,12.78,-16.64,Balaenoptera_physalus
C.1953.11.5.1,KC1,45,12.54,-16.97,Balaenoptera_physalus
SW.1921.2,KC2,1,11.33,-17.63,Balaenoptera_physalus
SW.1921.2,KC2,2,11.43,-17.6,Balaenoptera_physalus
SW.1921.2,KC2,3,11.23,-17.44,Balaenoptera_physalus
SW.1921.2,KC2,4,10.64,-17.51,Balaenoptera_physalus
SW.1921.2,KC2,5,10.13,-17.51,Balaenoptera_physalus
SW.1921.2,KC2,6,9.97,-17.61,Balaenoptera_physalus
SW.1921.2,KC2,7,9.93,-17.71,Balaenoptera_physalus
SW.1921.2,KC2,8,10.29,-17.66,Balaenoptera_physalus
SW.1921.2,KC2,9,10.71,-17.93,Balaenoptera_physalus
SW.1921.2,KC2,10,10.84,-18.1,Balaenoptera_physalus
SW.1921.2,KC2,11,10.73,-17.97,Balaenoptera_physalus
SW.1921.2,KC2,12,10.57,-18.09,Balaenoptera_physalus
SW.1921.2,KC2,13,10.47,-17.91,Balaenoptera_physalus
SW.1921.2,KC2,14,10.49,-17.79,Balaenoptera_physalus
SW.1921.2,KC2,15,10.33,-17.72,Balaenoptera_physalus
SW.1921.2,KC2,16,10.03,-17.56,Balaenoptera_physalus
SW.1921.2,KC2,17,10.35,-17.51,Balaenoptera_physalus
SW.1921.2,KC2,18,10.68,-17.42,Balaenoptera_physalus
SW.1921.2,KC2,19,10.85,-17.36,Balaenoptera_physalus
SW.1921.2,KC2,20,10.97,-17.45,Balaenoptera_physalus
SW.1921.2,KC2,21,11.02,-17.71,Balaenoptera_physalus
SW.1921.2,KC2,22,10.89,-17.64,Balaenoptera_physalus
SW.1921.2,KC2,23,11.03,-17.76,Balaenoptera_physalus
SW.1921.2,KC2,24,11.06,-17.87,Balaenoptera_physalus
SW.1921.2,KC2,25,10.92,-17.82,Balaenoptera_physalus
SW.1921.2,KC2,26,10.97,-17.74,Balaenoptera_physalus
SW.1921.2,KC2,27,10.95,-17.82,Balaenoptera_physalus
SW.1921.2,KC2,28,10.89,-17.86,Balaenoptera_physalus
SW.1921.2,KC2,29,11.09,-17.64,Balaenoptera_physalus
SW.1921.2,KC2,30,11.41,-17.65,Balaenoptera_physalus
SW.1921.2,KC2,31,11.41,-17.78,Balaenoptera_physalus
SW.1921.2,KC2,32,11.07,-17.77,Balaenoptera_physalus
SW.1921.2,KC2,33,10.97,-17.9,Balaenoptera_physalus
SW.1921.2,KC2,34,10.35,-18.16,Balaenoptera_physalus
SW.1921.2,KC2,35,10.73,-18.21,Balaenoptera_physalus
SW.1921.2,KC2,36,10.23,-18.25,Balaenoptera_physalus
SW.1949.15,KC3,1,11.22,-18.23,Balaenoptera_physalus
SW.1949.15,KC3,2,11.52,-18.2,Balaenoptera_physalus
SW.1949.15,KC3,3,11.39,-18.56,Balaenoptera_physalus
SW.1949.15,KC3,4,11.38,-18.34,Balaenoptera_physalus
SW.1949.15,KC3,5,10.94,-18.07,Balaenoptera_physalus
SW.1949.15,KC3,6,10.71,-18.26,Balaenoptera_physalus
SW.1949.15,KC3,7,10.83,-18.66,Balaenoptera_physalus
SW.1949.15,KC3,8,10.7,-18.78,Balaenoptera_physalus
SW.1949.15,KC3,9,9.83,-18.19,Balaenoptera_physalus
SW.1949.15,KC3,10,9.53,-17.74,Balaenoptera_physalus
SW.1949.15,KC3,11,9.76,-17.77,Balaenoptera_physalus
SW.1949.15,KC3,12,9.22,-17.07,Balaenoptera_physalus
SW.1949.15,KC3,13,9.21,-16.17,Balaenoptera_physalus
SW.1949.15,KC3,14,8.64,-16.91,Balaenoptera_physalus
SW.1949.15,KC3,15,9.71,-17.44,Balaenoptera_physalus
SW.1949.15,KC3,16,10.74,-17.78,Balaenoptera_physalus
SW.1949.15,KC3,17,11.53,-17.9,Balaenoptera_physalus
SW.1949.15,KC3,18,11.75,-18.12,Balaenoptera_physalus
SW.1949.15,KC3,19,11.82,-18,Balaenoptera_physalus
SW.1949.15,KC3,20,11.77,-18.04,Balaenoptera_physalus
SW.1949.15,KC3,21,11.87,-18.19,Balaenoptera_physalus
SW.1949.15,KC3,22,11.65,-18.32,Balaenoptera_physalus
SW.1949.15,KC3,23,11.36,-18.18,Balaenoptera_physalus
SW.1949.15,KC3,24,11.38,-17.76,Balaenoptera_physalus
SW.1949.15,KC3,25,11.5,-17.91,Balaenoptera_physalus
SW.1949.15,KC3,26,10.88,-17.37,Balaenoptera_physalus
SW.1949.15,KC3,27,10.89,-17.24,Balaenoptera_physalus
SW.1949.15,KC3,28,11.05,-17.11,Balaenoptera_physalus
SW.1949.15,KC3,29,10.57,-17.19,Balaenoptera_physalus
SW.1949.15,KC3,30,10.78,-17.28,Balaenoptera_physalus
SW.1949.15,KC3,31,9.82,-17.29,Balaenoptera_physalus
SW.1949.15,KC3,32,9.64,-17.37,Balaenoptera_physalus
SW.1949.15,KC3,33,10.05,-17.18,Balaenoptera_physalus
SW.1949.15,KC3,34,11.11,-17.33,Balaenoptera_physalus
SW.1916.3,KC4,1,12.4,-17.39,Balaenoptera_physalus
SW.1916.3,KC4,2,13,-17.17,Balaenoptera_physalus
SW.1916.3,KC4,3,13.42,-16.88,Balaenoptera_physalus
SW.1916.3,KC4,4,13.77,-16.84,Balaenoptera_physalus
SW.1916.3,KC4,5,14.26,-17.05,Balaenoptera_physalus
SW.1916.3,KC4,6,14.45,-17.17,Balaenoptera_physalus
SW.1916.3,KC4,7,14.5,-17.12,Balaenoptera_physalus
SW.1916.3,KC4,8,14.39,-17.17,Balaenoptera_physalus
SW.1916.3,KC4,9,13.99,-17.25,Balaenoptera_physalus
SW.1916.3,KC4,10,13.48,-17.05,Balaenoptera_physalus
SW.1916.3,KC4,11,12.46,-16.79,Balaenoptera_physalus
SW.1916.3,KC4,12,11.46,-16.88,Balaenoptera_physalus
SW.1916.3,KC4,13,10.91,-17.1,Balaenoptera_physalus
SW.1916.3,KC4,14,10.88,-17.04,Balaenoptera_physalus
SW.1916.3,KC4,15,11.22,-16.97,Balaenoptera_physalus
SW.1916.3,KC4,16,11.2,-16.93,Balaenoptera_physalus
SW.1916.3,KC4,17,10.97,-16.76,Balaenoptera_physalus
SW.1916.3,KC4,18,10.93,-17.12,Balaenoptera_physalus
SW.1916.3,KC4,19,10.87,-17.41,Balaenoptera_physalus
SW.1916.3,KC4,20,10.97,-17.63,Balaenoptera_physalus
